time,windNational,offshore,onshore,solar
01/01/2015 00:00,0.2139,0.703,0.1566,0
01/01/2015 01:00,0.2206,0.6875,0.1659,0
01/01/2015 02:00,0.2248,0.6535,0.1746,0
01/01/2015 03:00,0.2276,0.6803,0.1745,0
01/01/2015 04:00,0.2398,0.7272,0.1826,0
01/01/2015 05:00,0.2459,0.749,0.1869,0
01/01/2015 06:00,0.2598,0.7706,0.1999,0
01/01/2015 07:00,0.2738,0.801,0.212,0.0003
01/01/2015 08:00,0.2863,0.7828,0.2281,0.0442
01/01/2015 09:00,0.302,0.7865,0.2452,0.1263
01/01/2015 10:00,0.2884,0.8097,0.2272,0.1754
01/01/2015 11:00,0.2899,0.831,0.2265,0.2062
01/01/2015 12:00,0.2999,0.8244,0.2384,0.2074
01/01/2015 13:00,0.3313,0.8375,0.2719,0.1579
01/01/2015 14:00,0.3824,0.8599,0.3264,0.0645
01/01/2015 15:00,0.4197,0.8813,0.3656,0.0022
01/01/2015 16:00,0.4373,0.9022,0.3828,0
01/01/2015 17:00,0.46,0.9295,0.4049,0
01/01/2015 18:00,0.4917,0.9531,0.4376,0
01/01/2015 19:00,0.5302,0.9654,0.4792,0
01/01/2015 20:00,0.5676,0.9727,0.5201,0
01/01/2015 21:00,0.5973,0.9763,0.5529,0
01/01/2015 22:00,0.6256,0.979,0.5842,0
01/01/2015 23:00,0.6501,0.9808,0.6113,0
02/01/2015 00:00,0.6751,0.9823,0.6391,0
02/01/2015 01:00,0.7057,0.9824,0.6732,0
02/01/2015 02:00,0.7385,0.9819,0.71,0
02/01/2015 03:00,0.7679,0.9846,0.7425,0
02/01/2015 04:00,0.793,0.9851,0.7704,0
02/01/2015 05:00,0.8199,0.9851,0.8006,0
02/01/2015 06:00,0.8229,0.9856,0.8038,0
02/01/2015 07:00,0.8191,0.9849,0.7997,0.0002
02/01/2015 08:00,0.812,0.9844,0.7918,0.0197
02/01/2015 09:00,0.8028,0.9822,0.7818,0.0527
02/01/2015 10:00,0.7871,0.9811,0.7643,0.0808
02/01/2015 11:00,0.7812,0.982,0.7576,0.0986
02/01/2015 12:00,0.7686,0.9832,0.7435,0.1104
02/01/2015 13:00,0.7607,0.9835,0.7346,0.0904
02/01/2015 14:00,0.7534,0.9822,0.7266,0.0424
02/01/2015 15:00,0.7588,0.9811,0.7328,0.0026
02/01/2015 16:00,0.7622,0.9795,0.7368,0
02/01/2015 17:00,0.7651,0.9782,0.7401,0
02/01/2015 18:00,0.7618,0.9791,0.7363,0
02/01/2015 19:00,0.7562,0.9786,0.7301,0
02/01/2015 20:00,0.7511,0.977,0.7246,0
02/01/2015 21:00,0.7546,0.977,0.7285,0
02/01/2015 22:00,0.7579,0.9792,0.7319,0
02/01/2015 23:00,0.7557,0.9794,0.7294,0
03/01/2015 00:00,0.7404,0.9742,0.713,0
03/01/2015 01:00,0.7081,0.9609,0.6784,0
03/01/2015 02:00,0.663,0.9505,0.6293,0
03/01/2015 03:00,0.6144,0.9499,0.5751,0
03/01/2015 04:00,0.5603,0.9573,0.5138,0
03/01/2015 05:00,0.5456,0.9618,0.4968,0
03/01/2015 06:00,0.5583,0.9619,0.511,0
03/01/2015 07:00,0.5744,0.9602,0.5292,0.0002
03/01/2015 08:00,0.5845,0.9554,0.541,0.0193
03/01/2015 09:00,0.576,0.9461,0.5326,0.0551
03/01/2015 10:00,0.5697,0.9233,0.5282,0.0758
03/01/2015 11:00,0.5617,0.8811,0.5243,0.0831
03/01/2015 12:00,0.5352,0.8144,0.5024,0.0718
03/01/2015 13:00,0.4927,0.7518,0.4624,0.0521
03/01/2015 14:00,0.4548,0.7233,0.4233,0.0229
03/01/2015 15:00,0.4372,0.7435,0.4013,0.0016
03/01/2015 16:00,0.4221,0.7757,0.3807,0
03/01/2015 17:00,0.4203,0.8183,0.3737,0
03/01/2015 18:00,0.4242,0.8344,0.3761,0
03/01/2015 19:00,0.4273,0.8473,0.3781,0
03/01/2015 20:00,0.4424,0.8562,0.3939,0
03/01/2015 21:00,0.4561,0.8598,0.4087,0
03/01/2015 22:00,0.4897,0.8567,0.4467,0
03/01/2015 23:00,0.5068,0.8403,0.4677,0
04/01/2015 00:00,0.5222,0.8251,0.4867,0
04/01/2015 01:00,0.5324,0.8121,0.4996,0
04/01/2015 02:00,0.5354,0.7931,0.5051,0
04/01/2015 03:00,0.5194,0.7706,0.4899,0
04/01/2015 04:00,0.5078,0.7635,0.4778,0
04/01/2015 05:00,0.4939,0.769,0.4616,0
04/01/2015 06:00,0.4852,0.779,0.4508,0
04/01/2015 07:00,0.4855,0.7705,0.4521,0.0013
04/01/2015 08:00,0.4723,0.7305,0.442,0.0526
04/01/2015 09:00,0.4512,0.7069,0.4212,0.1455
04/01/2015 10:00,0.4516,0.6818,0.4246,0.1837
04/01/2015 11:00,0.4544,0.6542,0.431,0.1926
04/01/2015 12:00,0.4646,0.6235,0.4459,0.1633
04/01/2015 13:00,0.4622,0.6116,0.4447,0.114
04/01/2015 14:00,0.4541,0.5816,0.4391,0.0574
04/01/2015 15:00,0.4368,0.5389,0.4249,0.0037
04/01/2015 16:00,0.409,0.4919,0.3993,0
04/01/2015 17:00,0.3786,0.4534,0.3699,0
04/01/2015 18:00,0.3506,0.4407,0.3401,0
04/01/2015 19:00,0.3245,0.456,0.3091,0
04/01/2015 20:00,0.296,0.4905,0.2732,0
04/01/2015 21:00,0.2834,0.5374,0.2536,0
04/01/2015 22:00,0.2749,0.5724,0.24,0
04/01/2015 23:00,0.2745,0.5799,0.2387,0
05/01/2015 00:00,0.2734,0.5741,0.2382,0
05/01/2015 01:00,0.2832,0.5385,0.2533,0
05/01/2015 02:00,0.2931,0.5241,0.266,0
05/01/2015 03:00,0.3042,0.5086,0.2803,0
05/01/2015 04:00,0.3079,0.478,0.288,0
05/01/2015 05:00,0.3176,0.4363,0.3037,0
05/01/2015 06:00,0.33,0.3943,0.3225,0
05/01/2015 07:00,0.3304,0.3668,0.3261,0.0017
05/01/2015 08:00,0.3327,0.3484,0.3308,0.0611
05/01/2015 09:00,0.3288,0.3256,0.3291,0.1296
05/01/2015 10:00,0.3144,0.3118,0.3147,0.1606
05/01/2015 11:00,0.2902,0.2985,0.2892,0.1848
05/01/2015 12:00,0.2551,0.2761,0.2527,0.181
05/01/2015 13:00,0.2079,0.2416,0.204,0.1537
05/01/2015 14:00,0.1785,0.1986,0.1761,0.0921
05/01/2015 15:00,0.1587,0.1604,0.1585,0.0121
05/01/2015 16:00,0.1344,0.136,0.1342,0
05/01/2015 17:00,0.1125,0.1244,0.1111,0
05/01/2015 18:00,0.0981,0.1208,0.0955,0
